,Id,Target
0,00070df0-bbc3-11e8-b2bc-ac1f6b6435d0,16 0
1,000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0
2,000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,5
3,000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,1
4,001838f8-bbca-11e8-b2bc-ac1f6b6435d0,18
5,001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,0
6,0020af02-bbba-11e8-b2ba-ac1f6b6435d0,25 2
7,002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,0
8,00285ce4-bba0-11e8-b2b9-ac1f6b6435d0,2 0
9,002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,7
10,002ff91e-bbb8-11e8-b2ba-ac1f6b6435d0,23
11,00301238-bbb2-11e8-b2ba-ac1f6b6435d0,21
12,0032a07e-bba9-11e8-b2ba-ac1f6b6435d0,24 0
13,00344514-bbc2-11e8-b2bb-ac1f6b6435d0,23
14,00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,6 2
15,00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,25
16,0038d6a6-bb9a-11e8-b2b9-ac1f6b6435d0,25 0
17,003957a8-bbb7-11e8-b2ba-ac1f6b6435d0,25
18,003feb6e-bbca-11e8-b2bc-ac1f6b6435d0,0
19,0042017c-bba4-11e8-b2b9-ac1f6b6435d0,25 11
20,00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0
21,0047c984-bba6-11e8-b2ba-ac1f6b6435d0,11
22,00481c70-bba3-11e8-b2b9-ac1f6b6435d0,25 2
23,004a2b84-bbc4-11e8-b2bc-ac1f6b6435d0,25 0
24,004b47de-bbca-11e8-b2bc-ac1f6b6435d0,25 3
25,004bf4c6-bbc6-11e8-b2bc-ac1f6b6435d0,16 6
26,004d8a0e-bbc4-11e8-b2bc-ac1f6b6435d0,25 2
27,004efaa2-bba5-11e8-b2ba-ac1f6b6435d0,23
28,004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,25
29,004f8abc-bbb9-11e8-b2ba-ac1f6b6435d0,12 0
30,00508c34-bbb7-11e8-b2ba-ac1f6b6435d0,3 0
31,0051ccbc-bbbb-11e8-b2ba-ac1f6b6435d0,13
32,00520f22-bb9a-11e8-b2b9-ac1f6b6435d0,14 2 0
33,0058c62c-bbbe-11e8-b2ba-ac1f6b6435d0,12
34,005a103a-bbc4-11e8-b2bc-ac1f6b6435d0,25 13 21
35,005a78ec-bbae-11e8-b2ba-ac1f6b6435d0,7
